client_id,rep_id,territory,drug,drug_class,month,rx_volume,target_rx,calls_made,samples_distributed
CLT001,REP16,TER-E1,Sertraline,CNS,2022-01-01,486,570,79,38
CLT001,REP16,TER-E1,Sertraline,CNS,2022-02-01,505,570,34,10
CLT001,REP16,TER-E1,Sertraline,CNS,2022-03-01,543,570,20,17
CLT001,REP16,TER-E1,Sertraline,CNS,2022-04-01,575,570,43,20
CLT001,REP16,TER-E1,Sertraline,CNS,2022-05-01,653,570,54,42
CLT001,REP16,TER-E1,Sertraline,CNS,2022-06-01,589,570,78,14
CLT001,REP16,TER-E1,Sertraline,CNS,2022-07-01,638,570,47,16
CLT001,REP16,TER-E1,Sertraline,CNS,2022-08-01,629,570,28,17
CLT001,REP16,TER-E1,Sertraline,CNS,2022-09-01,520,570,74,32
CLT001,REP16,TER-E1,Sertraline,CNS,2022-10-01,516,570,43,46
CLT001,REP16,TER-E1,Sertraline,CNS,2022-11-01,524,570,46,44
CLT001,REP16,TER-E1,Sertraline,CNS,2022-12-01,536,570,20,44
CLT001,REP16,TER-E1,Sertraline,CNS,2023-01-01,512,570,20,14
CLT001,REP16,TER-E1,Sertraline,CNS,2023-02-01,504,570,45,23
CLT001,REP16,TER-E1,Sertraline,CNS,2023-03-01,733,570,34,35
CLT001,REP16,TER-E1,Sertraline,CNS,2023-04-01,577,570,61,22
CLT001,REP16,TER-E1,Sertraline,CNS,2023-05-01,666,570,68,41
CLT001,REP16,TER-E1,Sertraline,CNS,2023-06-01,667,570,23,39
CLT001,REP16,TER-E1,Sertraline,CNS,2023-07-01,680,570,34,38
CLT001,REP16,TER-E1,Sertraline,CNS,2023-08-01,582,570,55,22
CLT001,REP16,TER-E1,Sertraline,CNS,2023-09-01,583,570,41,37
CLT001,REP16,TER-E1,Sertraline,CNS,2023-10-01,532,570,21,15
CLT001,REP16,TER-E1,Sertraline,CNS,2023-11-01,459,570,39,39
CLT001,REP16,TER-E1,Sertraline,CNS,2023-12-01,501,570,30,37
CLT001,REP16,TER-E1,Sertraline,CNS,2024-01-01,556,570,20,36
CLT001,REP16,TER-E1,Sertraline,CNS,2024-02-01,549,570,76,22
